id	name	screen_name	statuses_count	followers_count	friends_count	favourites_count	listed_count	default_profile	default_profile_image	location	description	description_has_url	description_url	followers_to_following_ratio	verified_type	verified	is_blue_verified	has_graduated_access	can_dm	media_count	has_custom_timelines	has_verification_info	possibly_sensitive	response_count	most_responded_user	retweet_ratio	engagement_rate	top_words	tweets_count	hashtags_per_tweet	mentions_per_tweet	duplicate_content_ratio	is_fake
757261795	Netflix Danmark	Netflix_DK	2735	15269	117	78	112	False	False		Because bingeing is best done together. Join us over at @NetflixNordic.	False		130.5042735042735	Business	False	False	True	False	1612	False		False	0		0.0	0.0		0.0	0.0	0.0	0.0	
211977538	Personal Argentina	PersonalAr	2143750	622423	298733	1537	773	False	False		Gestioná tus consultas por Whatsapp: https://t.co/491UXJpr5d, por Facebook: @personalflowayuda, la app Mi Personal o desde nuestra web: https://t.co/B4lASA7i2L	True	https://bit.ly/3NDPdcH,http://personal.com.ar	2.083542829215386	Business	False	False	True	True	2349	True		False	0		0.0	0.0		0.0	0.0	0.0	0.0	
234466748	Personal Data News	Personal	2262	4834	2766	343	201	False	False	Washington, DC	The most important news, trends & ideas around people taking control of their data & identity. Edited by @shanegreen	False		1.7476500361532898		False	False	True	False	87	False		False	0		0.0	0.0		0.0	0.0	0.0	0.0	
1031418047095922688	Watsons Malaysia	watsonsmy	21619	366530	55	3902	90	True	False	Malaysia	Look Good. Do Good. Feel Great. Leading Health & Beauty in Malaysia. 🛍 WOW Sale 60% On 2nd Item* Watson’s Personal Care Stores Sdn Bhd (289892-V)	False		6664.181818181818	Business	False	False	True	True	12156	True		False	0		0.0	0.0		0.0	0.0	0.0	0.0	
28175577	WSJ Personal Finance	WSJpersfinance	18343	423781	22	26	5276	False	False	New York, NY	News and views on your personal finances, investing and spending from The Wall Street Journal.	False		19262.772727272728		False	False	True	False	695	False		False	0		0.0	0.0		0.0	0.0	0.0	0.0	
198377679	Watsons Philippines	WatsonsPH	6811	27515	0	764	68	False	False	Philippines, APAC	"Watsons PH delivers only the best health, wellness, and beauty solutions to all customers! Follow us on FB: https://t.co/ug489iIdif 
IG:@watsonsph"	True	http://bit.ly/FB_WatsonsPH	0.0		False	False	True	False	2112	True		False	0		0.0	0.0		0.0	0.0	0.0	0.0	
45937003	FamilySearch	FamilySearch	10936	123653	1004	6854	1273	False	False	Salt Lake City, Utah	Discover your family history with the world’s largest shared family tree.	False		123.16035856573706	Business	False	True	True	True	1771	False		False	0		0.0	0.0		0.0	0.0	0.0	0.0	
1435196301822423041	Jacked Aecus | Personal Development Coach	JackedAecus	7445	187495	87	31013	1289	True	False	Telegram Unfiltered:	Helped 1750+ young men to become a CHAD | Grab your FREE Ebook 👉 https://t.co/yeDsMQyOlT	True	http://7traitsofmasculinity.com	2155.114942528736		False	True	True	True	230	True		False	0		0.0	0.0		0.0	0.0	0.0	0.0	
27923715	NAPFA	NAPFA	16009	18843	1911	3555	366	False	False	Chicago, IL	NAPFA is the leading association of Fee-Only financial advisors. Be sure to visit us at https://t.co/rgzyvhg5FB more insights on Fee-Only planning!	True	http://NAPFA.org	9.86028257456829		False	False	True	False	2325	True		False	0		0.0	0.0		0.0	0.0	0.0	0.0	
179706126	Chris Powell	RealChrisPowell	12594	138255	191	3200	801	False	False		Dad | BS Exercise Science | CSCS | IFBB Pro🏆 | NYT Bestselling📚 | EWL 📺 | Founder: @thetransformapp Nonprofit: @move1m	False		723.848167539267		False	True	True	False	1183	False		False	0		0.0	0.0		0.0	0.0	0.0	0.0	
81119708	EPSO	EU_Careers	5059	40507	361	1293	900	False	False	Brussels	Welcome to #eucareers-European Personnel Selection Office (EPSO). Follow us to find new job and traineeship opportunities with the EU institutions & agencies.	False		112.20775623268698	Government	False	False	True	False	1390	False		False	0		0.0	0.0		0.0	0.0	0.0	0.0	
35993261	المبادرة المصرية للحقوق الشخصية	EIPR	16758	54793	521	644	540	False	False		منظمة مصرية تعمل من القاهرة على حماية حقوق المصريين. Egyptian Initiative for Personal Rights (EIPR)	False		105.16890595009598		False	False	True	True	3847	True		False	0		0.0	0.0		0.0	0.0	0.0	0.0	
148813813	Personal Capital	PersonalCapital	3882	20553	258	795	483	False	False	San Francisco, CA	"Digital wealth management.
Free personal finance tools.

User support at Support@PersonalCapital.com"	False		79.66279069767442		False	False	True	True	602	False		False	0		0.0	0.0		0.0	0.0	0.0	0.0	
950396897293987840	Insider Personal Finance	personalfinance	12929	7005	12	16	115	True	False		What you want to know about personal finance. A section of @thisisinsider. Visit our homepage for the day's top stories.	False		583.75		False	False	True	False	56	True		False	0		0.0	0.0		0.0	0.0	0.0	0.0	
195787533	APIL	APIL	6885	10886	658	2228	87	False	False	Nottingham	Not-for-profit campaign group, dedicated to securing justice for injured people.	False		16.544072948328267		False	False	True	True	651	False		False	0		0.0	0.0		0.0	0.0	0.0	0.0	
51088856	Personal Finance	ftmoney	30396	90606	234	1824	1611	False	False	London	@financialtimes feed with news, analysis and explainers about personal finance.	False		387.2051282051282		False	False	True	False	1941	True		False	0		0.0	0.0		0.0	0.0	0.0	0.0	
22117644	SCB	SCB_nyheter	8457	12340	92	172	237	False	False		Här hittar du den senaste statistiken och nyheterna från statistikmyndigheten SCB. Vid frågor om statistik, kontakta Statistikservice https://t.co/RmjghpjsXU	True	http://www.scb.se/fragaoss	134.1304347826087		False	False	True	False	819	False		False	0		0.0	0.0		0.0	0.0	0.0	0.0	
1374311735746719747	Mahima Jalan | Personal Brand Builder	MahimaJalan2	31720	24590	386	75612	75	True	False	New Delhi, India	Helping Entrepreneurs, Founders & CXOs build their PR & personal brand | Building @sortedbrand | Entrepreneur, agency life, content creator, millennial	False		63.70466321243524		False	True	True	True	3432	True		False	0		0.0	0.0		0.0	0.0	0.0	0.0	
28331760	GettingPersonal	GettingPersonal	9802	15930	1161	1985	88	False	False	United Kingdom	Welcome to Getting Personal, where you’ll find unique personalised gifts for all occasions. All order inquiries https://t.co/h5CPpy4Dbh	True	http://gettingpersonal.co.uk/contactus	13.72093023255814		False	False	True	True	2326	False		False	0		0.0	0.0		0.0	0.0	0.0	0.0	
48160604	PersonalGenomes.org	PGorg	262	3511	148	46	159	True	False	Boston	Making personal genomes useful for humankind.	False		23.72297297297297		False	False	True	False	16	True		False	0		0.0	0.0		0.0	0.0	0.0	0.0	
1058444891951312897	Personal Corner	personalcorner	3459	21508	325	4240	62	True	False	The Future	For the Athlete, By the Athlete. EST.2016 🚀🚀https://t.co/5dD9adI648 Hello@personalcorner.com	True	http://discord.gg/PersonalCorner	66.17846153846153	Business	False	True	True	True	380	False		False	0		0.0	0.0		0.0	0.0	0.0	0.0	
1292914545397121024	Personal.ai	PersonalAI_	1518	5164	18	2202	103	True	False	New York, NY	The only model trained for you, by you. Available on web, desktop, and App Store today.	False		286.8888888888889		False	True	True	False	204	True		False	0		0.0	0.0		0.0	0.0	0.0	0.0	
1253381777755983872	Personal Data Protection Office, Uganda	pdpoUG	1897	2519	106	594	17	True	False	Palm Courts, Lugogo Bypass	This is the official twitter handle for the #PersonalData Protection Office. A Statutory Office put in place by Uganda's #DataProtection and #Privacy Act, 2019.	False		23.764150943396228		False	True	True	True	715	False		False	0		0.0	0.0		0.0	0.0	0.0	0.0	
2471691146	Lily | ♒︎ ♐︎ ♎︎ | Personal Readings are CLOSED!!	lolipop55449	71869	21498	766	128286	145	True	False	Deez Store	🍁Content every Thursday @ 3:30pm CST (unless stated otherwise) ll 🌺Backup: @lolipop554490	False		28.065274151436032		False	True	True	True	3598	True		False	0		0.0	0.0		0.0	0.0	0.0	0.0	
1624325870	CT Trial Firm - CT Personal Injury Attorneys	cttrialfirm	1776	428	31	138	11	False	False	Glastonbury, CT	We have a 100 million dollar jury verdict and over 400 ⭐️⭐️⭐️⭐️⭐️ reviews. Call us (860) 471-8333.	False		13.806451612903226		False	True	True	False	856	False		False	0		0.0	0.0		0.0	0.0	0.0	0.0	
