id	name	screen_name	statuses_count	followers_count	friends_count	favourites_count	listed_count	default_profile	default_profile_image	location	description	description_has_url	description_url	followers_to_following_ratio	verified_type	verified	is_blue_verified	has_graduated_access	can_dm	media_count	has_custom_timelines	has_verification_info	possibly_sensitive	profile_image_url_https	created_at	response_count	most_responded_user	retweet_ratio	engagement_rate	top_words	tweets_count	average_sentiment	hashtags_per_tweet	mentions_per_tweet	duplicate_content_ratio	is_fake	account_age	tweet_frequency	average_activity_time	text_to_image_ratio
1550510996795555841	MessivekiliTR🇦🇷	Messivekili01	1172	10214	367	5847	4	True	False		Tarihin en iyisi Lionel Messi'ye adanmış hesap.	False		27.83106267029973		False	True	True	True	563	True		False			0		0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0	0.0		
343312513	MJ	_ShalaK	184446	4799	784	330	24	True	False	Pretoria, South Africa	Lionel Messi. Pep Guardiola. Football is unbelievable.	False		6.121173469387755		False	False	True	False	10459	True		False			0		0.0	0.0		0.0	0.0	0.0	0.0	0.0		0	0.0		
1505615838518333446	Personaldata.info	personal_data1	443	610	216	5706	14	True	False	World Wide Web	What data are you exposing to the web? https://t.co/vFartqI0cJ || https://t.co/VNgXLNJ3Mf	True	http://personaldata.info,http://blog.personaldata.info	2.824074074074074		False	False	True	True	18	True		False			0		0.0	0.0		0.0	0.0	0.0	0.0	0.0		0	0.0		
21862091	personal jesus	sentiny	5400	641	307	2579	0	False	False	istanbul	warm leatherette	False		2.0879478827361564		False	False	True	False	1449	False		False			0		0.0	0.0		0.0	0.0	0.0	0.0	0.0		0	0.0		
1629321749086244864	Sindel's personal foot stool 🙇🏻‍♂️	Oneandonlysir1	1000	287	333	4552	1	True	False		🤣🤷🏻‍♂️ 30, Aquarius ♒️, California living ☀️, Gamer, goth, gay and in that order.	False		0.8618618618618619		False	False	True	False	55	True		False			0		0.0	0.0		0.0	0.0	0.0	0.0	0.0		0	0.0		
994324172154130432	ytywrld (personal account)	JimmyYitty	6453	289	510	22721	1	True	False	Toronto, Canada	personal account | @sodamoney_yitty artist page	False		0.5666666666666667		False	False	True	True	72	True		False			0		0.0	0.0		0.0	0.0	0.0	0.0	0.0		0	0.0		
385133876	Personal Branding Expert Dubai	girlnamedrobyn	1607	593	157	188	22	False	False	Dubai, United Arab Emirates	🔸YOU are your best asset | Branding C-level Execs and Entrepreneurs🔸#1 on Google	False		3.7770700636942673		False	False	True	False	131	False		False			0		0.0	0.0		0.0	0.0	0.0	0.0	0.0		0	0.0		
25539678	😌Some😌Personal😌News😌	michaeltrieb	10657	437	488	4576	2	False	False	St Louis, MO	songs for Bleach Balta	False		0.8954918032786885		False	False	True	True	1024	True		False			0		0.0	0.0		0.0	0.0	0.0	0.0	0.0		0	0.0		
1582604114982162433	Leon’s personal $lut😩🥵	abel_rih	338	144	262	2472	0	True	False		just a fan account for @Rihanna & @theweeknd NOT IMPERSONATING THEM RNAVY & XOTWOD	False		0.549618320610687		False	False	True	True	3	True		False			0		0.0	0.0		0.0	0.0	0.0	0.0	0.0		0	0.0		
460460740	Gerardo PrietoBlanco (tweets de opinión personal)	GerardoPrietoBl	11204	408	1597	19795	9	False	False	En un Cielo Azul que viaja	"LicEconomíaPlan1990 por @FCEA_UdelaR. Ph.D(c) MScDEApor @upvehu.Coordinador de la Unidad Académica de Macroeconomía del @deFCEA
DI Responsable Unidad Curricular"	False		0.2554790231684408		False	False	True	True	1744	True		False			0		0.0	0.0		0.0	0.0	0.0	0.0	0.0		0	0.0		
385045874	Olivia | Personal Trainer	oliviafurner	1970	475	1057	3209	12	False	False	South East, England	Helping you feel fit & strong for life. Online & Surrey based In-Person Training.	False		0.4493850520340586		False	False	True	False	298	True		False			0		0.0	0.0		0.0	0.0	0.0	0.0	0.0		0	0.0		
1100082812	Berthena Nabaa (Personal)	bmnabaa	208	216	334	55	0	True	False		Follow my School Board Twitter @drberthena4edu for the latest news!	False		0.6467065868263473		False	False	True	False	10	False		False			0		0.0	0.0		0.0	0.0	0.0	0.0	0.0		0	0.0		
1218267333891936256	$contacts.name.first	WP_personal	6085	124	125	281	0	True	False	Thanks @omechus for the profile picture :-). He/him. Asexuwhale.	Personal account of @Winner_Plenix. Please don't ask for support on this account (except for mental support or if you need a hug or something).	False		0.992		False	False	True	True	626	True		False			0		0.0	0.0		0.0	0.0	0.0	0.0	0.0		0	0.0		
1236784345240625153	Locus (New Personal/Coaching Account)	CoachLocus	33	2396	19	11	2	True	False	Vancouver, British Columbia	Free Agent | Mental Performance/Coaching account for @locussk | Coaching is $25 USD an hour, dm to reserve a slot | Personal updates here as well :)	False		126.10526315789474		False	False	True	True	3	True		False			0		0.0	0.0		0.0	0.0	0.0	0.0	0.0		0	0.0		
1462445191	Murad	Murad_Personal	189	4258	172	286	0	True	False	Rampal,Khulna,Bangladesh 	মানুষ চাইলেই অসাধারণ হতে পারে। কিন্তু কেউ চাইলেই সাধারণ হতে পারে না। আমি সাধারণ, অতি সাধারণ।	False		24.75581395348837		False	False	True	True	88	False		False			0		0.0	0.0		0.0	0.0	0.0	0.0	0.0		0	0.0		
1310344149942575105	RoCoLeaksPersonal	RoCoPersonal	823	299	20	179	1	True	False		personal acc	False		14.95		False	False	True	True	196	True		False			0		0.0	0.0		0.0	0.0	0.0	0.0	0.0		0	0.0		
20363995	Paul Fitzpatrick (Personal Account)	pf137955	5483	167	32	1505	3	False	False	High Wycombe	A never too old, Liberal, Construction Director, who loves Fantasy Fiction & Hiking, occasional Golfer who supports Wasps Rugby, Pittsburgh Steelers & Tottenham	False		5.21875		False	False	True	False	205	True		False			0		0.0	0.0		0.0	0.0	0.0	0.0	0.0		0	0.0		
39717738	Anna Vatuone | Personal Brand Strategist	annavatuone	2304	578	1526	2449	4	False	False	Boston, MA	I teach people how to build their personal brand. Take the quiz: https://t.co/TMxSC9yLiR	True	https://www.annavatuone.com/quiz	0.3787680209698558		False	False	True	False	192	True		False			0		0.0	0.0		0.0	0.0	0.0	0.0	0.0		0	0.0		
3194808188	Thousandaire - Personal Finance	dmthousandaire	1798	1007	1192	1121	19	True	False		Money matters, finances, economics politics entertainment. Thousandaire is one of the sites owned by District Media Finance. Visit  https://t.co/Ickl3Cgc0R	True	http://www.districtmediafinance.com	0.8447986577181208		False	False	True	False	850	False		False			0		0.0	0.0		0.0	0.0	0.0	0.0	0.0		0	0.0		
124137240	mt☆3745@Japanese personal shopper	mt3745_JSAS	51423	842	1032	146	1	False	False	japanproxyservice@gmail.com	I'm native Japanese and  personal shopper who live in Tokyo. I decline people that compel me to write the low value of the product!	False		0.8158914728682171		False	False	True	True	43676	False		False			0		0.0	0.0		0.0	0.0	0.0	0.0	0.0		0	0.0		
2789975474	Personal Money Coach	stevedemaray	2407	633	1026	60	21	True	False	Burlington, Ontario	Advocate for money clarity. Guiding  growth minded people through a money-life shift that  transforms stress and frustration into simplicity and freedom	False		0.6169590643274854		False	False	True	False	209	False		False			0		0.0	0.0		0.0	0.0	0.0	0.0	0.0		0	0.0		
